,Year,Item,Unit.x,ha,Unit.y,gt,gt_ha,,,,
1,1990,Forest land,ha,4285410084,gigatons,-3.051328871,-7.12E-10,,,,
2,1991,Forest land,ha,4280129348,gigatons,-3.06344566,-7.16E-10,,,,
3,1992,Forest land,ha,4274848612,gigatons,-3.083663481,-7.21E-10,,,,
4,1993,Forest land,ha,4269567876,gigatons,-3.094737156,-7.25E-10,,,,
5,1994,Forest land,ha,4264287140,gigatons,-3.107755919,-7.29E-10,,,,
6,1995,Forest land,ha,4259006404,gigatons,-3.121146458,-7.33E-10,,,,
7,1996,Forest land,ha,4253725668,gigatons,-3.134927251,-7.37E-10,,,,
8,1997,Forest land,ha,4248444932,gigatons,-3.149118025,-7.41E-10,,,,
9,1998,Forest land,ha,4243164196,gigatons,-3.163739868,-7.46E-10,,,,
10,1999,Forest land,ha,4237883460,gigatons,-3.178815347,-7.50E-10,,,,
11,2000,Forest land,ha,4232602724,gigatons,-3.194339905,-7.55E-10,,,,
12,2001,Forest land,ha,4231239496,gigatons,-2.275133524,-5.38E-10,,,,
13,2002,Forest land,ha,4229876269,gigatons,-2.275436268,-5.38E-10,,,,
14,2003,Forest land,ha,4228513041,gigatons,-2.27580795,-5.38E-10,,,,
15,2004,Forest land,ha,4227149814,gigatons,-2.276255526,-5.38E-10,,,,
16,2005,Forest land,ha,4225786586,gigatons,-2.276786872,-5.39E-10,,,,
17,2006,Forest land,ha,4223885921,gigatons,-2.952621415,-6.99E-10,,,,
18,2007,Forest land,ha,4221985257,gigatons,-2.952218244,-6.99E-10,,,,
19,2008,Forest land,ha,4220084592,gigatons,-2.951788276,-6.99E-10,,,,
20,2009,Forest land,ha,4218183928,gigatons,-2.951328906,-7.00E-10,,,,
21,2010,Forest land,ha,4216283263,gigatons,-2.950836883,-7.00E-10,,,,
22,2011,Forest land,ha,4214517595,gigatons,-2.166776351,-5.14E-10,,,,
23,2012,Forest land,ha,4239642109,gigatons,-2.171137542,-5.12E-10,,,,
24,2013,Forest land,ha,4237702026,gigatons,-2.168845278,-5.12E-10,,,,
25,2014,Forest land,ha,4235761943,gigatons,-2.166492426,-5.11E-10,,,,
26,2015,Forest land,ha,4233821860,gigatons,-2.16407526,-5.11E-10,,,,
27,2016,Forest land,ha,4233821860,gigatons,-2.192180873,-5.18E-10,,,,
28,2017,Forest land,ha,4207454922,gigatons,-2.16407526,-5.14E-10,,,,
29,1990,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
30,1991,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
31,1992,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
32,1993,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
33,1994,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
34,1995,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
35,1996,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
36,1997,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
37,1998,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
38,1999,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
39,2000,Grassland organic soils,ha,8862578.573,gigatons,0.045303722,5.11E-09,,,,
40,2001,Grassland organic soils,ha,8862923.77,gigatons,0.045324559,5.11E-09,,,,
41,2002,Grassland organic soils,ha,8863708.271,gigatons,0.045407209,5.12E-09,,,,
42,2003,Grassland organic soils,ha,8863480.494,gigatons,0.04546698,5.13E-09,,,,
43,2004,Grassland organic soils,ha,8868679.64,gigatons,0.0455954,5.14E-09,,,,
44,2005,Grassland organic soils,ha,8873281.213,gigatons,0.045684044,5.15E-09,,,,
45,2006,Grassland organic soils,ha,8880538.349,gigatons,0.045804383,5.16E-09,,,,
46,2007,Grassland organic soils,ha,8892448.575,gigatons,0.045979308,5.17E-09,,,,
47,2008,Grassland organic soils,ha,8900477.326,gigatons,0.046064757,5.18E-09,,,,
48,2009,Grassland organic soils,ha,8904194.997,gigatons,0.046065237,5.17E-09,,,,
49,2010,Grassland organic soils,ha,8921047.038,gigatons,0.04619639,5.18E-09,,,,
50,2011,Grassland organic soils,ha,8942618.561,gigatons,0.046317433,5.18E-09,,,,
51,2012,Grassland organic soils,ha,9191252.672,gigatons,0.046378878,5.05E-09,,,,
52,2013,Grassland organic soils,ha,9194267.922,gigatons,0.046390316,5.05E-09,,,,
53,2014,Grassland organic soils,ha,9191867.929,gigatons,0.046342877,5.04E-09,,,,
54,2015,Grassland organic soils,ha,9191950.055,gigatons,0.04632707,5.04E-09,,,,
55,2016,Grassland organic soils,ha,9191950.055,gigatons,0.04632707,5.04E-09,,,,
56,2017,Grassland organic soils,ha,8953821.495,gigatons,0.04632707,5.17E-09,,,,
57,1990,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
58,1991,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
59,1992,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
60,1993,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
61,1994,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
62,1995,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
63,1996,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
64,1997,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
65,1998,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
66,1999,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
67,2000,Cropland organic soils,ha,14805894.17,gigatons,0.609597913,4.12E-08,,,,
68,2001,Cropland organic soils,ha,14800766.35,gigatons,0.609640471,4.12E-08,,,,
69,2002,Cropland organic soils,ha,14825776.39,gigatons,0.611910906,4.13E-08,,,,
70,2003,Cropland organic soils,ha,14848443.19,gigatons,0.614471509,4.14E-08,,,,
71,2004,Cropland organic soils,ha,14885219.76,gigatons,0.617476586,4.15E-08,,,,
72,2005,Cropland organic soils,ha,14958205.6,gigatons,0.622945528,4.16E-08,,,,
73,2006,Cropland organic soils,ha,15044289.71,gigatons,0.629635316,4.19E-08,,,,
74,2007,Cropland organic soils,ha,15144221.79,gigatons,0.637466034,4.21E-08,,,,
75,2008,Cropland organic soils,ha,15213543.86,gigatons,0.643083702,4.23E-08,,,,
76,2009,Cropland organic soils,ha,15260812.77,gigatons,0.64665893,4.24E-08,,,,
77,2010,Cropland organic soils,ha,15362401.24,gigatons,0.653165457,4.25E-08,,,,
78,2011,Cropland organic soils,ha,15450908.31,gigatons,0.658423733,4.26E-08,,,,
79,2012,Cropland organic soils,ha,15553945.8,gigatons,0.662762477,4.26E-08,,,,
80,2013,Cropland organic soils,ha,15576611.53,gigatons,0.664492577,4.27E-08,,,,
81,2014,Cropland organic soils,ha,15636415.33,gigatons,0.668882793,4.28E-08,,,,
82,2015,Cropland organic soils,ha,15634117.73,gigatons,0.668691443,4.28E-08,,,,
83,2016,Cropland organic soils,ha,15634117.73,gigatons,0.668691443,4.28E-08,,,,
84,2017,Cropland organic soils,ha,15599882.51,gigatons,0.668691443,4.29E-08,,,,
,,,,,,,,,,,